Disaster_Name,Item_1,Item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11
Earthquake,water purification kit,jacket or sweater,flashlights,battery-powered or crank radio,first aid kit,medications,water,non-perishable food,cash,batteries,emergency whistle
Flood,water purification kit,3600 calorie food bars,flashlights,emergency blankets,rain poncho,water storage container,inflatable raft,cash,battery-powered or crank radio,signal light,emergency whistle
Tsunami,water,3600 caloria food bars,medications,first aid kit,flashlights and crisis light,battery-powered or crank radio,emergency whistle,cash,flotation device,batteries,emergency blankets
Volcano,flashlight,extra batteries,first aid kit,non-perishable food,water,essential medications,respiratory protection,eye protection,battery powered radio,cash,important documents
Blizzard,weather seal,snow shovel,rock salt,candles,food,flashlight,battery powered radio,"books, art supplies, board games",medications,first aid kit,blankets
Wild Fire,water,non-perishable food,medications,first aid kit,batter powered radio,flashlight,cash,respiratory protection,eye protection,important documents,water purification kit
Viral Outbreak,hand sanitizer,respiratory protection,gloves,toilet paper,surface wipes,bleach,vitamins,cough and cold medication,non-perishable food,cash,water
Hurricane,water,non-perishable food,battery powered radio,flashlight,safety whistle,dust mask,tools to turn off utilities,local maps,cash,water purification kit,toiletries
